NomSite,Sigle,Superficie,Vegetation,NbreDate,Date d'echantillonnage,Prof1,Prof2,Latitude,Longitude,Diagramme complet,Charbons et PAF
Sheldrake lac (4),SHEL4,,TF,4,,160,161,563701,760730,p,
Small Tea Field (1),STF1,550,EC,4,,429,444,450758,741730,c,
Small Tea Field (2),STF2,550,EC,0,,0,0,450815,741650,c,
Smoky Hill Falls,Smokey,,,0,,,,512700,783200,,
Snow Lake,SNOW,160,TF,3,,140,145,563900,635300,c,
Sona Lake East,SONA-E,,PC,0,,0,0,533400,635200,c,
Sona Lake West,SONA-W,0.1,PC,1,,260,265,533500,635700,c,
Square Forks Valley Lake,SQUARE,3,SEpN,1,26-03-1994,490,495,483445,661602,b,chb
Square Lake,SQUAREL,100,Ta,4,,685,715,583800,633600,,
St-Arsène,Arsene,,,0,,,,475500,682600,,
St-Bonaventure Bog,BonavB,,,0,,,,455800,724300,,
St-Boniface Bog,BonifB,,,0,,,,463000,725000,,
St-Etienne Bog,EtienB,,,0,,,,724558.85,462553.75,,
St-Eugène Bog,EugB,,,0,,,,454800,724300,,
St-Germain Bog,GerB,,,0,,,,454500,723500,,
St-Janvier,janvier,,,0,,,,454300,735400,,
St-Jean (Tourbière),LANSTJE,200,EC,4,,275,285,460000,731301,c,
Sud-Ouest (Lac du),CRA1B,3.75,T,2,,48,50,611545,734240,c,
Sugluk Inlet,Sugl,,,0,,,,621500,753000,,
Swanzey bog (1),SWA1,0.3,Chênaies,0,,0,0,425323,721853,c,
Swanzey bog (2),SWA2,0.3,Chênaies,3,,117,120,425323,721853,c,
Tania (lac),TANIA,2,ET,6,,810,820,454630,741814,c,
Tasiat (près du Lac),LT1,,Ta,4,,70,80,590830,750900,c,
Tasiguluk (1),TASI1,0.1,T,0,,0,0,583140,640910,c,
Tasiguluk (2),TASI2,0.1,T,0,,0,0,583140,640910,c,
Tasiguluk (3),TASI3,0.1,T,0,,0,0,583140,640910,c,
Tassiujak,LAU,,TF,3,04-01-1977,194,199,583809,700657,c,
Terrien (Petit Lac),TERRIEN,3.5,EBj,1,,626,638,463500,703630,c,
Timmins (87-SM-066),87SM066,,PN,0,,,,483400,804800,c,
Timmins (87-TIM-03),87TIM03,,PN,0,,0,0,482900,812200,c,
Timmins (87-TIM-05),87TIM05,,PN,0,,0,0,482900,812200,c,
Timmins (87-TIM-08),87TIM08,,PN,0,,0,0,482900,812200,c,
Tortue (lac ˆ la),TOR,2.5,ET,4,07-06-1979,390,400,453245,731901,c,
Tourbière-aux-Orignaux (Forillon),FOR,0.2,SBb,2,,520,530,485107,641930,c,
Tourelle (lac de la),TOUR2,8,SBb,1,15-02-1986,246,253,473220,701750,p,
Track Lake,TRACK,,PC,7,,317,322,554600,651000,c,
Triangle (Lac),TRIANGLE,1.5,SEpN,6,29-03-1994,,,484237.49,652444.01,c,chb
Tunturi Lake,TUNTU,400,PC,2,,130,137,550100,673000,c,
Turcotte (lac) ,TUR,10,SBb,4,13-06-1979,335,345,490923.27,654539.56,c,c
Twin Falls,TWINF,,PC,0,,0,0,533000,643100,c,
Twin (Lac),TWIN,4.9,SBb,0,25-06-1996,,,484705,645330,,
Twin (Lac),TWINS,4.9,SBb,0,25-06-1996,,,484705,645330,,
Ublik Pond,UBLIK,,TF/Ta/k,5,,183,188,572300,620300,c,
Unknown Pond,UNKNOWN,5.8,EBj-SBj,4,,695,700,453600,703800,c,
Upper Wallface Pond,WALLFACE,5.5,SBj,0,,,,440847,740315,c,
Val St-Gilles,STGIL,,PN,1,,,,490100,790500,p,
Valin (mont)  -1,VAL1,0.2,SBb,4,,380,388,483543.85,705002.22,c,c
Valin (mont)  -2,VAL2,0.3,SBb,1,,175,185,483650,705009,c,
Vallon des Pins  (Ferme Picard),PIC1,3.1,ET,6,10-07-1987,295,300,451620,723637,c,
Vicenza,VICENZA,5,T,1,01-08-1990,,,724435,613309,i,
Victor (Lac),SAV3,1.2,EBj,1,,666,676,455208,740903,i,
Vieux Port Burwell (a),VPBA,,T,1,,0,29,602453,644919,c,
Vieux Port Burwell (b),VPBB,,T,3,,0,62,602453,644919,c,
Vieux Port Burwell (c),VPBC,,T,1,,0,24,602453,644919,c,
Wapizagonke,MAU3,0.5,EBj,2,10-06-1974,,,464333,730151,c,
Waterloo (lac),WAT,1.4,ET,0,,0,0,451958,723000,c,
Weedon,WEEDON,157,EBj,0,28-07-1969,0,0,454131,712544,c,
Whitney's Gulch,WHITNEYS,5.5,TF,6,,345,355,513100,571800,c,
Yamaska,YAM,2,ET/EC,7,,505,515,452718.78,725225.09,c,c
Yelle (lac),YELLE,3.2,SBb,3,,375,385,483025.54,793814.57,c,c
Zed,Zed,25,EBj,1,10-06-1980,152,162,480758,652031,i,
Hertel (Lac),HERC5,28.4,EC/ET,3,07-03-2001,,,453250,730910,,
Bromont (lac),BROM2,50,ET,0,17-03-1982,,,451552.43,724016.56,,
Bromont (lac),BROM3,50,ET,9,08-03-2001,,,451558.73,724020.36,,
Hertel (Lac),HERCS2,28.4,EC/ET,0,07-03-2001,,,453250,730910,,
Hertel (Lac),HERL2,28.4,EC/ET,0,15-03-2001,,,453250,730910,,
Hertel (Lac),HERL3,28.4,EC/ET,0,15-03-2001,,,453250,730910,,
Hertel (Lac),HERL4,28.4,EC/ET,0,15-03-2001,,,453250,730910,,
Tourbière de Saint-Canut,canut,,EC,0,,,,454110,740401,c,
Bromont (lac),BROM240,50,ET,8,29-11-2000,554,558,451545.78,724030.89,c,
Hemlock Carr,HC250_60,5.1,ET,15,29-10-2002,938,939,453330,730825,c,
Hertel (Lac),HERC6,28.4,EC/ET,2,07-02-2003,,,453250,730910,,
Hertel (Lac),HERC7,28.4,EC/ET,2,17-03-2003,,,453250,730910,,
Germain (Lac ˆ St-),GER3,5,EBj SBj,1,31-03-2003,,,455645,742215,c,
Shefford,SHE3,4.7,ET,1,04-07-2003,,,452133,723510,,
Shefford,SHE2,4.7,ET,0,22-10-1976,,,452132,723505,c,
Tourbière de LG-1,L1T1C1,,,1,01-08-2002,147,148,535406,784634,i,
Tourbière de LG-1,L1T1C2,,,9,01-08-2002,165,167,535406,784634,c,
Tourbière de LG-1,L1T1C3,,,1,01-08-2002,114,115,535400,784600,i,
Tourbière de LG-2,L2T2C1,,,1,01-08-2002,263,264,533800,774400,i,
Tourbière de LG-2,L2T2C2,,,6,01-08-2002,335,338,533859,774400,i,
Tourbière de LG-2,L2T2C3,,,1,01-08-2002,279,280,533800,774400,i,
Tourbière de LG-3,L3T1C1,,,1,01-08-2002,230,231,533400,760800,i,
Tourbière de LG-3,L3T1C2,,,7,01-08-2002,374,378,533400,760800,c,
Tourbière de LG-3,L3T1C3,,,1,01-08-2002,292,293,533400,760800,i,
Lac Memphr_magog,BgFb-005,,,0,,,,450748,721500,,
Wales Island,Wales WLS,2,,0,11-08-1992,,,614145,720230,i,paf
Diable (lac du),DIAB93,25,SEpn,5,28-03-1993,150,155,485442,660726,c,c
McGinnis (Lac),mcG,,,0,01-07-1999,,,443626,780223,,PAF CHB
Champ de mangrove,TRINIDAD,,,0,,,,,,,
Grande-Vall_e,GV,,,2,01-07-1993,,,,,,
Petite-Vall_e,PV,,,3,01-07-1993,800,801,,,,
Mont-Saint-Pierre,MSP,,,2,01-07-1993,310,311,,,,
Moulin de la Chevrotière,Chevrot,,,1,,,,463745,715920,,
Hertel (Lac),HERLE_050,28.4,EC/ET,0,03-03-2004,,,453250,730910,,
Hertel (Lac),HERLE_100,28.4,EC/ET,0,03-03-2004,,,453250,730910,,
Tourbière de LG-2 (Mare 1),L2T1P1s,,nuphar sur l'eau,0,04-08-2003,,,533859,774411,i,
Tourbière de LG-2 (Mare 2),L2T1P3s,,,3,04-08-2003,,,533856,774406,n,
Tourbière de LG-2 (Mare 3),L2T1P4s,,,0,04-08-2003,,,533850,774402,non,
Tourbière de LG3 (Mare 3),LG3_P3s,,,0,11-08-2003,,,533349,760754.16,i,
Tourbière de LG3 (Mare 1),LG3_P1s,,,0,11-08-2003,,,533400,764600,n,
Tourbière de LG3 (Mare 2),LG3_P2s,,,0,11-08-2003,,,533900,774400,n,
Bromont (lac),BROM120,50,ET,6,29-11-2000,,,451542.81,724029.88,c,
Bromont (lac),BROM060,50,ET,4,29-11-2000,,,451541.11,724029.46,c,
Bromont (lac),BROM_A,,ET,0,01-01-1977,,,451553,724012,c,
Bromont (lac),BROM_B,,ET,0,01-01-1977,,,451553,724012,c,
Bromont (lac),BROM_C,,ET,0,01-01-1977,,,451553,724012,c,
St-Paul (Lac),LSP,,,1,26-08-2004,,,461807,722903,c,
STRONG site,strong,,,1,,,,,,,
Jones site,Jones,,,3,,,,,,,
Vale Perkins site,ValeP,,,0,07-07-1989,,,450517,721817,,
Moncton,02mgvb,,,0,,,,460700,645100,,
Ile Nue (2004),NUE04est1,,SEPb,2,17-08-2004,,,501309,640756,c,p
Ile Nue (2004),NUE04sud,,SEPb,1,17-08-2004,,,501309,640756,c,p
Bromont (lac),BROM140,50,ET,0,29-11-2000,,,451553,724012,c,
Duparquet (Lac),abitibi,,,0,01-01-1993,,,,,,
Saint-Sylvère (Coupe de),StSyl,,,0,01-01-1990,,,,,,
Goutte (Lac la),Goutte,1.2,,0,11-04-1996,,,482700,782300,,
Squatec (Site),squatec,,,0,,,,,,,
Till de l'Ungava,TillUN,,,0,01-08-1990,,,,,,
Bishop (Site),bishop,,,0,01-10-1982,,,,,,
Rimouski (Site arch_ologique de),DcEd-001,,,0,01-07-1991,,,,,,
Newport (Quai de),newport,,,0,01-06-1994,,,,,,
R_serve nationale de la faune (ƒrablière),RNF2ER,,,3,01-07-1991,,,,,,
R_serve nationale de la faune (ƒrablière),RNF2ORM,,,5,01-03-1992,,,450122.02,742924.15,,
Pins (Lac des),PINS,,,0,15-11-2004,,,450303,735321,,
Qu_bec (Fortifications de),FORTQUE,,,0,,,,464900,711300,,
LG2_04C,LG2_04C,14.7,Pessière et pinède,5,30-07-2004,,,533321,773857,,p
LG2_04L1,LG2_04L1,14.7,Pessière et pinède,3,05-08-2004,,,533321,773857,,p
LG2_04L2,LG2_04L2,14.7,Pessière et pinède,3,05-08-2004,,,533321,773857,,p
LG2_04L3,LG2_04L3,14.7,Pessière et pinède,0,05-08-2004,,,533321,773857,,p
Tourbière de LG-2,L2T2C2_03,,,8,01-08-2003,,,533859,774400,c,
Amakuttalik (Lac),AMA9506,40,T,3,,237,238,674833,643439,c,p 
Night Hawk Lake,NHL,,,0,01-09-1991,,,,,,p
WhiteFish River,WFR,,,0,01-09-1991,,,482550,805500,,
Connecticut (site),CONNECT,,,0,14-07-1994,,,441200,721000,,
Joseph (Tourbière St-),JOS05,250,EC,0,12-07-2005,,,455931,731810,c,
Mont Jacques-Cartier,MJC2003,,,0,,,,,,,
Tourbière Laforge 1,OURS3,,,0,,,,,,,
Romer (lac),ROM_T1A4,6,EC,5,18-11-2005,,,455757.49,731952.33,,
Projet St-Ambroise,MTL03-25-04,,,0,24-04-2003,,,45280643,73353045,,
Projet Lacordaire / Pierre B_dard,MTL05-12-1,,,0,01-12-2005,,,453439,733320,,
Lac aux Cèdres,Cedres_C3,7,,4,01-01-2004,,,492042.2,791229.57,,
Rivière St-François,STF,,,3,,,,460641,725417,,
Ballston Lake,Ballston,,,0,01-01-1998,,,425622,735130,,
Amarok Lake,AKL,,,0,,,,,,p,
Akvaqiak Lake,BIRG,,,0,,,,,,p,
Akvaqiak Lake,BIR,,,0,,,,,,p,
Lac aux Araign_es,araignees,864,EBj/SBj,1,,913,924,452807.62,705024.79,Non,
Mer Bleue (Tourbière de),MB060F,2500,EC,9,08-09-2004,,,452437.73,752837.38,,
Mer Bleue (Tourbière de),MB060T,2500,EC,9,08-09-2004,,,452436.46,752844.08,,
Fourche (lac ˆ la),FOUR2,19.6,EBj,5,22-10-1985,290,298,475833.01,691211.56,c,c
Normandie (Site de la Rue de ),norm,,,1,01-03-1987,,,482521.89,710120.07,,
Rivière-du-Moulin,RDM92,,SEr,1,,,,482530,710200,p,
Flavien (Saint-),FLAV86,314,ET,19,01-07-1986,,,463311.91,713539.15,m,
Romer (lac),ROM_T1A3.5,6,EC,0,09-11-2006,,,455757.59,731952.51,,
Romer (lac),ROM_T1A5,6,EC,2,09-11-2006,,,455757.32,731951.9,,
Moon Dance,moon,,,0,,,,563105.09,940425.64,,
Lac aux Cèdres,Cedres_Z3,7,,4,01-01-2004,,,492055.7,791233.76,,
Lac Beazley (Lac Baisley),BEAZLEY_C,,EBj-SBj,8,28-02-2007,,,473342.29,683003.58,c,
Francis (lac),FRANCISL,0.78,Sbj ,0,06-04-1997,,,483135,782820,c,
Qu_bec,DL RO,,,0,,,,,,,
Nottaway,06N_xxx,,,0,,,,510839,784813,,
FAGET,faget,,,3,,,,464231,233430,,
Chinteni,Chinteni,,,1,,,,465007,233809,,
Romer (lac),ROM_T1A8,6,EC,0,04-07-2007,,,455756.53,731950.41,,
Romer (lac),ROM_T1A15,6,EC,0,04-07-2007,,,455754.66,731948.66,,
La Prairie,BiFi-007,,,0,01-01-2006,,,,,,
Pointe ˆ Callière,BjFj-101,,,0,,,,,,,
St-Lazare,STLAZ,,,0,,,,,,,
Lac M_gantic,CR-NNNX,,,0,,,,,,,
Lac Beazley (Lac Baisley),BEAZLEY_L,,EBj-SBj,2,01-03-2007,,,473342.29,683003.58,c,
LG2_04C (Kajak-Brinkhurst),LG2_04Cs,14.7,Pessière et pinède,0,30-07-2004,,,533321,773857,,p
LG2_04L1 (Kajak-Brinkhurst),LG2_04L1s,14.7,Pessière et pinède,0,05-08-2004,,,533321,773857,,p
LG2_04L2 (Kajak-Brinkhurst),LG2_04L2s,14.7,Pessière et pinède,0,05-08-2004,,,533321,773857,,p
LG2_04L3 (Kajak-Brinkhurst),LG2_04L3s,14.7,Pessière et pinède,0,05-08-2004,,,533321,773857,,p
Fog Lake,FOG96-05,,,16,,,,671053,631502,c,
Southampton Island,S11G07,,,0,01-08-2007,,,650054,844229,,
Nepress site,BiEr-021,,,0,01-07-2007,,,452745,705108,,
Secteur Abitibi,abitibi12,,,3,,,,491537,792714,,
Chissassibi site,chisb,,,1,,,,535000,790459,,
S_minaire de Saint-Sulpice,BjFj-018-12,,,0,,,,,,,
Lac aux Araign_es,ARAIGN,864,EBj/SBj,0,22-02-2008,,,452810.86,704952.43,i,
Lac Dubuc,DUBUC,1.1,EBj/SBj,6,23-02-2008,,,453005.1,705111.9,c,
Lac Clinton,CLINTON,36.9,EBj/SBj,3,23-02-2008,,,452645.26,705728.56,c,
Lac des Joncs,JONCS,50,EBj/SBj,4,24-02-2008,,,452704.7,705119.9,c,
Quenouilles (Lac aux),SAV2A,2,EBj,1,,908,918,461019,742345,c,
Cliche-Rancourt site,BiEr-014,,Sbj,0,01-08-2008,,,452737.3,705102.6,,
Site de Michel Parent,FL06-01,,,0,08-10-2007,,,,,,
80-38 site,80-38,,,0,01-01-1980,,,,,,
Boothia Island,Boothia,,,0,,,,695348,941709,,
Site Blomidon,Blomidon,,,0,,,,445934,645401,,
Saint-Placide,99BZA,,,0,,,,453150,741220,,
A_roport de Montmagny,aermt1,,,0,,,,465925,703356,,
Moulin SQUARE DES FRéRES CHARRON,BiFj-062,,,0,,,,,,,
Cap-Saint-Jacques,CSJ,,forestier,0,,,,452743,735631,,
Ferryland,CgAf-002,,,0,01-01-2007,,,470115,525226,,
Site Madawaska,CjEd-005,,,0,12-08-2004,,,473202,683358,,
Parc de Plaisance,BjFs-010,,,2,01-01-2008,,,453605.75,750806.61,,
Site ƒtienne Nivart,BiFj-085,,,0,01-07-2008,,,,,,
site Nemiscau,EjGd-001,,,0,01-07-2008,,,513117.65,763309.64,,
Faubourg Qu_bec,BjFj-056,,,0,,,,,,,
Faubourg Qu_bec,CapStJac,,,0,,,,,,,
Squatec,ClEe-009,,,0,08-08-2001,,,,,,
Cave du 168 St-Paul Ouest,BjFj-143,,,0,01-07-2008,,,453011.69,733318.15,,
Rivière Magog,BhFa-003,,,0,,,,,,,
Parc de l'artillerie,18G33,,,0,01-07-1976,,,464837,711241,,
Place Royale,CeEt-387,,,0,,,,,,,
Antiquit_s CORNO,ChaiseLXIII,,,1,20-05-2009,,,464900,711240,,
La Prairie,BiFi-021,,,0,,,,,,,
La Prairie,BiFi-026,,,0,,,,,,,
Square Sir Georges ƒtienne-Cartier,MTL970803,,,0,01-07-1997,,,,,,
Ancien tunnel Wellington,MTL970802,,,0,01-07-1997,,,,,,
Anicet-5,BgFn-001,,,0,01-07-1998,,,,,,
Place Royale,BjFj-050,,,0,,,,,,,
St-Colomban,BkFm-001,,,0,01-01-1994,,,454418,740815,,
McGill,MTL2000-08,,,0,,,,,,,
Les Escoumins,ESC,,,0,01-07-2009,,,482050,692409,,
Lac Clinton,clintonC,36.9,EBj/SBj,6,21-10-2009,,,452650.29,705724.38,c,
Castor  (Lac aux),castor,,,0,,,,452955.7,733551.04,,
Place d'Youville,BjFj-102,,,0,01-07-1999,,,,,,
St-Paul (Lac),LSP_5,,,1,27-02-2010,,,461805,722902,c,
Outardes (Lac aux),OUT_8,18,,18,28-02-2010,,,461907.7,722741.3,c,
Bois_ d'ANGELL,ANGELL,80,,2,24-09-2010,,,,,,
Site du Lac ˆ Lampsilis,LAMP,,,1,,,,,,,
Atacas (ƒtang aux),atacas,,,1,28-02-2010,,,,,,paf
Leamy (Parc du Lac),Leamy,,,0,,,,45.45098,-75.7155,,
Site Annapolis,Annapolis,,,0,01-07-2005,,,445551.84,651135.76,,
Lac aux Cèdres,cedres-KB,7,,6,01-01-1997,,,491245,791230,c,
Palais des congrès,QIM03,,,,,,,453017.61,733335.59,c,
Lake Small,small,0.5,,,01-03-2010,,,493452.19,902308.34,c,
Lake Ben,ben,1.63,Pessière et pinède,,01-03-2010,,,492125.02,894610.36,c,
Mistassini (mar_cage de),Fortin,,PN/SEpn,0,31-07-2012,,,502459.41,730910.26,,
Rue des Soeurs Grises,BiFj-071,,,,01-07-2003,,,,,,
Castor  (Lac aux),castor-II,,,0,08-08-2012,,,452955.7,733551.04,,